1.1.2.01.0001;1.1.2.13.0098
1.1.2.01.0002;1.1.2.13.0099
1.1.2.01.0003;1.1.2.13.0100
1.1.2.01.0004;1.1.2.13.0101
1.1.2.01.0005;1.1.2.13.0102
1.1.2.01.0006;1.1.2.13.0103
1.1.2.01.0007;1.1.2.13.0104
1.1.2.01.0008;1.1.2.13.0105
1.1.2.01.0009;1.1.2.13.0106
1.1.2.01.0010;1.1.2.13.0107
1.1.2.01.0011;1.1.2.13.0108
1.1.2.01.0012;1.1.2.13.0109
1.1.2.01.0013;1.1.2.13.0110
1.1.2.01.0014;1.1.2.13.0111
1.1.2.01.0015;1.1.2.13.0112
1.1.2.01.0016;1.1.2.13.0113
1.1.2.01.0017;1.1.2.13.0114
1.1.2.01.0018;1.1.2.13.0115
1.1.2.01.0019;1.1.2.13.0116
1.1.2.01.0020;1.1.2.13.0117
1.1.2.01.0021;1.1.2.13.0118
1.1.2.01.0022;1.1.2.13.0119
1.1.2.01.0023;1.1.2.13.0120
1.1.2.01.0024;1.1.2.13.0121
1.1.2.01.0025;1.1.2.13.0122
1.1.2.01.0026;1.1.2.13.0123
1.1.2.01.0027;1.1.2.13.0124
1.1.2.01.0028;1.1.2.13.0125
1.1.2.01.0029;1.1.2.13.0126
1.1.2.01.0030;1.1.2.13.0127
1.1.2.01.0031;1.1.2.13.0128
1.1.2.01.0032;1.1.2.13.0129
1.1.2.01.0033;1.1.2.13.0130
1.1.2.01.0034;1.1.2.13.0131
1.1.2.01.0035;1.1.2.13.0132
1.1.2.01.0036;1.1.2.13.0133
1.1.2.01.0037;1.1.2.13.0134
1.1.2.01.0038;1.1.2.13.0135
1.1.2.01.0039;1.1.2.13.0136
1.1.2.01.0040;1.1.2.13.0137
1.1.2.01.0041;1.1.2.13.0138
1.1.2.01.0042;1.1.2.13.0139
1.1.2.01.0043;1.1.2.13.0140
1.1.2.01.0044;1.1.2.13.0141
1.1.2.01.0045;1.1.2.13.0142
1.1.2.01.0046;1.1.2.13.0143
1.1.2.01.0047;1.1.2.13.0144
1.1.2.01.0048;1.1.2.13.0145
1.1.2.01.0049;1.1.2.13.0146
1.1.2.01.0050;1.1.2.13.0147
1.1.2.01.0051;1.1.2.13.0148
1.1.2.01.0052;1.1.2.13.0149
1.1.2.01.0053;1.1.2.13.0150
1.1.2.01.0054;1.1.2.13.0151
1.1.2.01.0055;1.1.2.13.0152
1.1.2.01.0056;1.1.2.13.0153
1.1.2.01.0057;1.1.2.13.0154
1.1.2.01.0058;1.1.2.13.0155
1.1.2.01.0059;1.1.2.13.0156
1.1.2.01.0060;1.1.2.13.0157
